id;name;iso_code;phone_prefix;icon_url
1;vortals Car Hill;virtual Ri;Steel opti;encoding Response Tasty
2;Account Soft;Plastic ev;clear-thin;Fresh
3;back RAM Chips;deposit ge;Credit Ent;maximized indexing
4;Rubber;cross-plat;Cambridges;invoice
5;fuchsia robust infomediaries;Mississipp;Way Comput;backing Iceland
6;Sleek Jersey Solomon;Poland mar;program wi;Cambridgeshire hack deposit
7;Director Versatile;Guatemala;Steel Rust;Focused
8;parsing;mindshare;methodolog;PNG overriding indexing
9;ubiquitous Bacon;cross-medi;interactiv;Loan Handmade
10;Wooden;attitude;applicatio;encryption
